gene,spotX,spotY,parent_id,parent_prob
ITLN1,5381.625,471.5938,12111,0.1414213562373095
NPPA,5970.689,470.0556,2006,0.9013878188659972
PAM,5981.289,470.4124,2006,0.95
NPPA,5781.017,471.0833,12204,1.0
NPPA,5480.8,471.8,7190,1.0
NPPA,5766.354,471.7292,20227,1.0
MYH6,5942.386,471.5965,2006,0.8139410298049853
NPPA,5454.511,472.9362,7190,1.0
NPPA,5812.553,473.6842,12204,1.0
PAM,5833.559,474.7059,12204,0.3
MYBPC3,5463.765,476.0588,7190,1.0
NPPA,5211.489,475.2444,24003,0.8732124598286489
LDB3,5784.095,477.7619,12204,1.0
PAM,5542.238,476.7857,26866,0.291547594742265
MYBPC3,5674.03,479.1212,19763,1.0
MYOZ2,5437.542,477.9322,7190,0.1414213562373095
NPPA,5502.653,477.96,7190,0.6964194138592059
NPPA,5816.262,477.8689,12204,1.0
NPPA,5826.38,477.72,12204,0.7158910531638176
NPPA,5909.409,477.6818,26865,0.1414213562373095
PAM,5937.0,478.0,2006,0.4242640687119284
NPPA,5546.545,480.7818,26866,0.35
PAM,5633.4,479.0857,19763,0.05
NOV,5659.346,478.8077,19763,0.8602325267042626
MYBPC3,5680.0,480.0,19763,1.0
MYBPC3,5822.343,480.6571,12204,0.85
SORBS2,5897.417,480.0556,26865,0.1118033988749895
FABP3,5357.06,481.5224,12111,0.05
PAM,5636.133,481.4667,19763,0.2121320343559642
MYBPC3,5685.083,480.6111,19763,0.95524865872714
PAM,5698.767,481.7442,19763,0.4609772228646444
NPPA,5818.739,483.0,12204,0.9486832980505138
FAM210B,5758.389,481.5556,9930,1.0
NPPA,5954.935,481.9839,2006,0.4
ITLN1,5246.083,482.3056,24003,0.8139410298049853
NPPA,5944.189,481.3514,2006,0.6324555320336759
PAM,5494.861,483.4722,7190,0.7071067811865476
SORBS2,5835.021,484.3958,12204,0.2121320343559642
NPPA,5458.333,483.875,7190,0.9192388155425116
MYBPC3,5449.655,485.5818,7190,0.565685424949238
NPPA,5465.444,488.2222,7190,1.0
MYBPC3,5671.907,488.2209,19763,1.0
PAM,5665.734,491.6094,19763,1.0
SORBS2,5819.808,489.75,12204,0.7762087348130012
NPPA,5454.798,491.7079,7190,0.5315072906367325
NPPA,5527.632,491.5294,26866,0.95
NPPA,5829.452,490.8493,12204,0.3354101966249684
NPPA,5477.02,494.1765,7190,0.7071067811865476
