cell_id,x,y
63,16725.555,17809.89375
64,2574.5941,13326.187
65,11016.103235294118,9408.899911764705
66,9403.78953125,2150.0568125
67,2882.0077142857144,3482.3540204081633
68,8211.365411764706,8207.019411764704
69,12331.070625,5800.70728125
70,7308.492833333334,7426.679875000001
71,6273.410194444445,8421.68638888889
72,9649.32207142857,14232.337857142858
73,11578.279259259258,8846.32037037037
74,12727.462592592592,6053.259555555555
75,11320.273076923077,7489.107307692308
76,9307.8920625,13312.54875
77,2637.957487179487,3475.9185128205127
78,5846.550538461539,4756.4866923076925
79,15856.835294117647,10456.189411764706
80,8100.336951219512,6597.416609756097
81,9873.691826086957,7362.092652173913
82,17202.19052631579,23726.614736842104
83,11012.524166666668,5444.2895
84,12609.693055555555,5727.509416666667
85,8833.607624999999,12531.642083333332
86,7423.409466666666,7808.354066666667
87,9286.830538461538,13229.666153846154
88,17366.272,23836.41
89,11265.629166666666,8402.4785
90,22482.73,16713.587
91,19825.607837837837,12218.874594594594
92,9635.111954545455,8059.679909090908
93,3531.2936,16447.007999999998
94,22482.503333333338,16645.100000000002
95,9855.0775,8934.862700000001
96,9757.514178571428,9044.434642857143
97,10907.3109375,6832.7799375
98,9711.314266666666,6884.0166
99,13321.685,6385.659666666666
100,13342.978125,6470.6724375
101,22804.837499999998,17281.422916666666
102,9902.54430952381,7800.771095238095
103,13449.918461538462,5395.252230769231
104,12804.212380952382,5764.376952380952
105,9658.2247,6860.988800000001
106,9948.098375,8770.34728125
107,6432.772289473684,9953.524315789473
108,3453.8553333333334,16586.55
109,7595.36424137931,8134.493793103448
110,17008.41448275862,9207.338620689656
111,13130.363749999999,6433.055791666667
112,17463.47111111111,23731.297777777778
113,10984.136153846153,9320.411307692308
114,18370.57230769231,6123.823769230769
115,17441.89,23777.23
116,8244.434000000001,6593.447363636364
117,12167.574375,6240.7646875
118,9778.690076923078,6921.318384615384
119,10198.742999999999,7272.8254
120,7003.893615384615,5131.994384615385
121,9355.589260869565,9105.043869565217
122,6352.121407407407,8374.457074074073
123,4182.530428571428,9338.279857142858
124,12907.41,5500.661
125,11227.812702702702,10463.166216216217
126,8940.229090909092,12494.07181818182
127,22865.82230769231,17330.736923076925
128,9902.7205,8622.406
129,4267.93175,17607.15
130,9024.418454545455,13705.382727272727
131,11094.255555555555,9005.415444444445
132,4257.541,9300.975666666667
133,13010.64625,5504.285625
134,15269.646153846154,10105.136153846153
135,2658.48745,3548.5620333333336
136,11507.46346153846,5743.084923076923
137,9035.19523076923,13783.456153846153
138,3813.6982037037037,3202.3048333333336
139,12288.821666666665,6167.9675
140,9985.932833333334,9045.706166666667
141,16980.37620689655,13154.86275862069
142,2348.699296875,3912.6214375
143,18737.996666666666,18649.776388888888
144,4158.095,17549.086666666666
145,10632.228235294118,9296.421647058824
146,9769.65957142857,7894.624000000001
147,15323.963125,10100.086875
148,7650.681324324323,1765.6834594594595
149,18562.157142857144,20517.85714285714
150,11354.264166666668,7389.953333333334
151,14993.043333333335,10932.086666666668
152,7999.5456,11995.194
153,17769.3,17887.039
154,13052.532222222222,5562.247333333334
155,15349.91846153846,14294.255897435896
156,17297.393333333333,23811.49166666667
157,14889.633636363636,14529.778181818181
158,4250.1499,17714.009
159,14952.494999999999,11109.78642857143
160,8161.0884,2674.072716666667
161,15032.259166666669,10436.729166666666
162,19614.51975,17499.76075
163,9548.125,13162.0
164,9793.16905,9111.211
165,21442.07347826087,17897.828260869566
166,10575.876666666667,9226.63225
167,3943.5970769230767,3473.8780769230766
168,12484.013214285715,6871.437035714285
169,16711.499024390243,9372.394219512194
170,5368.90365,5456.8696
171,7422.404592592593,7943.336888888888
172,9722.658838709678,8150.5686129032265
173,13975.139655172414,4977.977310344828
174,11176.861,8384.3664
175,9629.460045454545,6915.6069090909095
176,11075.55,5426.255111111112
177,10416.232580645163,8081.411032258065
178,11031.475,8948.5715
179,7976.80475,8288.35045
180,20889.31263157895,17692.482631578947
181,18487.696190476192,19063.44761904762
182,7679.58875,1821.551107142857
183,6988.77825,6175.7522500000005
184,15391.09,4822.0908
185,2502.5784,12566.605
186,9791.724133333333,8009.929666666667
187,13891.535833333333,11007.3675
188,14979.527058823529,11213.458235294118
189,3358.441848484849,2798.7144848484845
190,3261.4313725490197,8463.866
191,19060.06976744186,10625.746976744185
192,5960.6955625,4041.7403125
193,13269.462571428572,5546.016342857142
194,7008.1081,6311.366
195,7179.476821428571,10739.44357142857
196,9249.146333333334,13164.108666666667
197,13347.26909090909,8027.423454545454
198,11011.916764705882,9820.590676470587
199,7753.942217391304,11507.451304347825
200,3658.28362,2707.61778
201,12751.387894736841,6857.737684210527
202,2540.5434999999998,12503.25
203,7907.998277777779,9888.92088888889
204,6954.398533333334,10103.457333333332
205,9550.617838709677,7035.813161290323
206,13025.546315789474,7571.9271052631575
207,4208.8855,17672.77
208,8868.199875,7457.779125
209,11527.9146875,8568.08315625
210,14414.794615384617,21530.03846153846
211,15167.621818181819,11805.923636363637
212,15912.905625,13739.323125
213,7933.908966666667,11350.635333333334
214,15925.977647058824,13672.815294117647
215,16943.1712,23926.6448
216,9770.0255,9708.591
217,10979.03888888889,6881.460888888889
218,7479.2875,7735.391375
219,10388.035172413794,7587.033724137931
220,9807.5344,8994.9946
221,15222.960769230769,10594.196923076923
222,12348.736666666666,6137.705666666666
223,7347.9279,7837.558900000001
224,8939.962333333335,12430.67
225,10690.465833333334,5234.604416666666
226,2289.1616129032254,4171.387161290322
227,19951.414,15921.6684
228,20052.118333333332,12353.861666666666
229,8997.33259090909,12352.208181818183
230,7608.406411764706,9438.706470588237
231,17312.264545454545,23625.63
232,20017.981428571427,12296.177142857143
233,8769.004166666668,9453.629666666666
234,9395.817428571429,13914.092857142856
235,2209.3489166666664,4188.0036666666665
236,9860.327,9015.582
237,10994.41,5235.065
238,12729.072,5560.0496
239,10136.19875,9981.3465
240,16349.713921568627,8531.451764705882
241,11552.634705882354,8744.446294117646
242,11821.629677419356,17354.962258064515
243,11872.1,5045.0
244,6748.6942500000005,6953.81545
245,7364.9461666666675,7912.697499999999
246,8245.116034482759,6417.496655172414
247,9674.9958125,20071.94
248,7246.609475,798.1663275
249,7417.7555,7345.6611250000005
250,11125.007272727273,9265.267636363636
252,6789.80738095238,7017.610380952381
253,14856.216666666667,10857.408666666666
254,3678.263666666667,17417.280000000002
255,9573.861142857144,9357.245285714287
256,16116.71375,10168.54125
257,10094.476666666667,7966.703518518519
258,9423.970272727272,8511.865727272727
259,8425.887,9662.038
260,11281.50888888889,23673.905555555553
261,6946.1052500000005,6300.269
262,7076.013956521739,5971.3766521739135
263,19749.0458,11741.92
264,9656.33,7235.446359999999
265,7351.5135,7870.2995
266,15217.055333333332,10155.998666666668
267,3872.821,17347.263333333332
268,5991.00925,5419.576166666667
269,5924.128454545455,5732.532636363636
270,5897.517,5790.719666666667
271,13527.324210526316,6259.018710526316
272,16616.14064516129,11731.433225806451
273,12505.682,6394.6416
274,10221.013636363636,6391.364409090908
275,13294.635,8437.3395
276,3178.682111111111,3018.0236666666665
277,10327.222727272727,8219.126681818183
278,13048.048181818182,6456.025818181818
279,17496.685,17659.805833333336
280,7242.49964,6386.32332
281,7406.8484,7311.017600000001
282,5968.822,4259.09775
283,12857.997647058823,6325.403529411765
284,9711.388,7947.286
285,15577.967575757575,11060.084848484848
286,4185.940428571428,9438.536285714286
287,13972.768571428573,12541.559285714287
288,3706.978738095238,2137.951738095238
289,15778.848888888888,16628.103333333333
290,7368.794888888889,7577.670888888889
291,10299.268076923076,8009.457615384616
292,5125.1698,10064.341
293,3224.047096774194,2983.399806451613
294,15521.933333333334,13211.379166666666
295,5954.479333333334,5435.846833333334
296,12868.292857142858,5565.116
297,12799.29705882353,6409.016
298,14871.9075,14468.145
299,11741.089285714286,8623.432928571428
300,10279.246875,17285.186875
301,22404.734444444446,16564.983333333334
302,9727.525428571429,7541.809428571428
303,8773.619619047618,2629.912976190476
304,5886.162142857143,9804.75857142857
305,11619.649285714286,7264.7028928571435
306,13427.83090909091,24469.58
307,7934.280199999999,6762.1512
308,21545.77464285714,19209.50642857143
309,8084.7971739130435,2650.173
310,11273.619090909091,8476.056181818181
311,15459.522142857142,4882.155928571429
312,6938.178277777778,8626.466111111113
313,7637.569363636364,9292.934272727272
314,7862.5535,6798.077125
315,7189.079,9461.419750000001
316,7210.577833333333,9521.783399999998
317,17610.234166666665,22210.836666666666
318,8347.968523809524,6994.446047619048
319,13202.33,8046.633714285715
320,7655.814571428571,9377.471357142857
321,12508.771818181818,5548.4275
322,17046.420833333334,22752.3125
323,13457.6,24718.22333333333
324,3877.150153846154,2441.6983076923075
325,3143.666619047619,3013.2431904761906
326,2351.866015873016,4042.5498253968253
327,9590.076074074073,7222.748666666667
328,7635.694966666666,7253.136533333333
330,16031.94,10369.932857142858
331,12497.424090909091,5733.287636363636
332,4139.386125,5884.106375
333,12635.995,6088.198833333333
334,4078.5313181818183,5862.616727272727
335,5508.716470588236,19126.560588235297
336,14398.363636363636,11193.864090909092
337,16328.094000000001,16181.306
338,12889.68,5741.209333333333
339,11747.273333333334,6436.157266666666
340,7419.0825,7292.271
341,8701.62888,2058.4906
342,4387.6016,8061.869199999999
343,11559.0775,6068.404750000001
344,4805.5283125,9074.7660625
345,2501.5622142857146,3678.458157142857
346,5548.905736842105,6511.439631578947
347,5770.957870967742,9615.636096774193
348,7814.357962962963,9955.262185185185
349,4584.144625,16748.724375
350,8939.430999999999,7092.544333333334
351,16772.993333333332,9996.179952380953
352,1179.954972972973,5494.82172972973
353,13219.708333333334,6678.6336666666675
354,8784.647117647059,2063.7185294117644
355,9711.753618181818,7651.095127272728
356,2959.8236363636365,12024.163636363635
357,8852.31075,16953.16
358,6281.104736842106,10275.194210526315
359,16302.635714285714,16252.075714285715
360,8826.758,16898.534545454546
361,15047.446666666667,11803.369333333334
