parent_id,ALDH1A1,COL1A1,COL3A1,CPE,CRABP2,EBF2,ELN,FABP3,FAM210B,HSPB7,ISL1,ISLR,LDB3,LRRN3,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NPPA,NUSAP1,PAM,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TNNI1,TNNT1,TOP2A,TPM1
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11202803831707,0.0,0.0,6.167915732334905,0.0,6.167915732334905,0.0,8.363275817704324,0.0,7.265129978035143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,6.121495502161354,0.0,0.0,6.121495502161354,0.0,0.0,0.0,7.218643271861805,6.813544494621113,6.813544494621113,0.0,0.0,7.218643271861805,0.0,6.121495502161354,0.0,8.065522304010056,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.267799590092823,0.0,0.0,0.0,6.267799590092823,0.0,0.0,0.0,0.0,8.057977478576158,0.0,6.959998122405276,6.959998122405276,6.959998122405276,0.0,0.0,0.0,6.959998122405276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.267799590092823,0.0,6.959998122405276,0.0
198,0.0,6.813544494621113,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,7.506142128543193,6.813544494621113,0.0,0.0,0.0,6.813544494621113,0.0,7.506142128543193,6.121495502161354,6.813544494621113,0.0,6.121495502161354,0.0,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0,5.954840459801967,0.0,0.0,7.051722413950769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.646690170246266,0.0,6.646690170246266,7.744436542654315,6.646690170246266,0.0,0.0,0.0,6.646690170246266,5.954840459801967,0.0,0.0,0.0,0.0,0.0,5.954840459801967,7.339187983916088,0.0,0.0,0.0,0.0,6.646690170246266,0.0,0.0,0.0
258,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,6.121495502161354,6.121495502161354,0.0,6.813544494621113,6.121495502161354,0.0,0.0,6.121495502161354,0.0,0.0,0.0,7.218643271861805,0.0,7.729175734280353,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,6.121495502161354,0.0,6.121495502161354,6.813544494621113,6.121495502161354,0.0,0.0
267,0.0,0.0,5.845940345101734,0.0,0.0,0.0,0.0,0.0,5.845940345101734,0.0,0.0,0.0,5.845940345101734,0.0,0.0,5.845940345101734,0.0,6.942623030403143,6.537640672314758,0.0,0.0,5.845940345101734,0.0,5.845940345101734,0.0,7.789368890966675,5.845940345101734,6.942623030403143,5.845940345101734,0.0,0.0,0.0,0.0,7.230063640424056,0.0,0.0,0.0,0.0,6.537640672314758,0.0,0.0,0.0
299,0.0,0.0,7.729175734280353,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,6.121495502161354,6.121495502161354,0.0,6.813544494621113,0.0,0.0,6.121495502161354,0.0,0.0,0.0,7.729175734280353,0.0,7.218643271861805,0.0,0.0,0.0,6.121495502161354,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.065522304010056,6.813544494621113,0.0,0.0,6.121495502161354,6.121495502161354,0.0,6.121495502161354,7.506142128543193,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.506142128543193,0.0,0.0,6.121495502161354,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,0.0,5.88093194910298,0.0,0.0,5.88093194910298,6.572682063274631,6.977681048517689,7.824445930877619,0.0,0.0,5.88093194910298,0.0,6.572682063274631,0.0,7.670361888840676,0.0,6.572682063274631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,7.218643271861805,0.0,0.0,0.0,6.121495502161354,6.813544494621113,7.729175734280353,0.0,0.0,0.0,0.0,0.0,0.0,7.218643271861805,0.0,7.729175734280353,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0
469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,7.313886831633462,0.0,0.0,0.0,0.0,6.90875477931522,6.2166061010848646,8.006700845440367,6.2166061010848646,7.313886831633462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,6.2166061010848646,0.0
496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0,6.034683666227958,6.034683666227958,0.0,7.642204338899188,0.0,0.0,0.0,0.0,0.0,0.0,7.642204338899188,6.034683666227958,7.824445930877619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1316985104669115,0.0,0.0,0.0,6.034683666227958,0.0
499,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,6.2166061010848646,7.313886831633462,8.006700845440367,0.0,0.0,6.2166061010848646,0.0,6.2166061010848646,0.0,6.2166061010848646,0.0,6.90875477931522,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0
517,0.0,6.860014563948276,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,7.957927342245102,6.167915732334905,6.167915732334905,0.0,7.265129978035143,0.0,0.0,6.860014563948276,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,6.167915732334905,6.860014563948276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,0.0,6.68586094706836,0.0,0.0,6.68586094706836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3783837129967145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3783837129967145,0.0,0.0,0.0,0.0,0.0,7.0909098220799835,0.0,0.0,0.0,0.0,7.937731775260109,0.0,0.0,0.0,7.0909098220799835,0.0,0.0
565,0.0,7.313886831633462,6.90875477931522,6.2166061010848646,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,6.90875477931522,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0,0.0,0.0,6.90875477931522,6.2166061010848646,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,6.90875477931522,0.0,0.0,0.0,0.0
591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.439350371100098,0.0,0.0,0.0,0.0,7.53689712956617,7.1316985104669115,0.0,0.0,6.439350371100098,0.0,6.844282856026563,0.0,7.942184538873334,0.0,7.1316985104669115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0,5.7477993600729755,0.0,0.0,0.0
592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.313886831633462,7.313886831633462,0.0,0.0,6.2166061010848646,6.2166061010848646,6.2166061010848646,0.0,8.517393171418904,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,6.167915732334905,0.0,6.860014563948276,0.0,7.265129978035143,7.265129978035143,6.860014563948276,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,6.860014563948276,7.552637157608365,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,6.167915732334905
606,0.0,6.2166061010848646,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,6.90875477931522,0.0,6.2166061010848646,0.0,0.0,7.313886831633462,0.0,0.0,6.2166061010848646,6.2166061010848646,6.2166061010848646,0.0,6.2166061010848646,0.0,0.0,6.2166061010848646,0.0,6.2166061010848646,0.0,6.2166061010848646,0.0,0.0,0.0,6.2166061010848646,6.90875477931522,0.0,6.2166061010848646,6.2166061010848646,0.0,0.0,0.0,0.0,0.0
