parent_id,ALDH1A1,CCDC102B,CDK1,CLU,COL1A1,COL1A2,COL3A1,COL9A2,CPE,CRABP2,EBF2,EFNA5,ELN,FABP3,FAM210B,FAM46C,FBLN5,FOXS1,HSPB7,ISL1,ISLR,ITLN1,LDB3,LRRN3,LUM,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NAV1,NOV,NPPA,NUSAP1,OGN,PAM,PCSK1N,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TCIM,TMEM100,TNNI1,TNNT1,TOP2A,TPM1,TRIL
1548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.845940345101734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4530622862888185,0.0,0.0,0.0,0.0,0.0,6.537640672314758,7.4530622862888185,0.0,0.0,0.0,0.0,5.845940345101734,0.0,0.0,0.0,6.942623030403143,0.0,0.0,7.922848517982294,0.0,0.0,0.0,0.0,0.0,6.537640672314758,5.845940345101734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.845940345101734,0.0
1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,7.313886831633462,0.0,0.0,0.0,0.0,0.0,7.824445930877619,0.0,0.0,7.824445930877619,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0,0.0,0.0,6.646690170246266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051722413950769,0.0,0.0,0.0,0.0,0.0,7.051722413950769,6.646690170246266,0.0,0.0,5.954840459801967,0.0,5.954840459801967,0.0,0.0,0.0,7.744436542654315,0.0,0.0,7.898525342618926,0.0,0.0,0.0,0.0,0.0,0.0,5.954840459801967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,0.0,0.0,6.572682063274631,0.0,0.0,0.0,0.0,0.0,5.88093194910298,8.075671501863283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,6.572682063274631,0.0,7.670361888840676,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,0.0,7.265129978035143,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,0.0
1557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.813544494621113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.813544494621113,8.316766910526855,0.0,0.0,6.813544494621113,6.813544494621113,0.0,0.0,0.0,0.0,6.813544494621113,0.0,0.0,7.218643271861805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0,0.0,0.0,0.0,0.0,6.844282856026563,6.844282856026563,0.0,0.0,6.439350371100098,6.439350371100098,5.7477993600729755,0.0,5.7477993600729755,0.0,7.53689712956617,0.0,0.0,7.942184538873334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0,0.0,0.0,5.7477993600729755,0.0,0.0,5.7477993600729755,0.0
1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,7.0909098220799835,7.937731775260109,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,7.0909098220799835,0.0,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.160803920954665,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,8.294299608857235,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3783837129967145,0.0,0.0,6.68586094706836,5.993961427306569,0.0,0.0,0.0,0.0,8.556606193773073,0.0,0.0,6.68586094706836,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7691426758635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7691426758635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.377661222595133,0.0,0.0,7.86698888515497,0.0,0.0,0.0,0.0,0.0,0.0,6.077143515095717,0.0,0.0,6.077143515095717,0.0,0.0,0.0,6.077143515095717,0.0,0.0,0.0,0.0
