parent_id,ALDH1A1,CCDC102B,CDK1,CLU,COL1A1,COL1A2,COL3A1,COL9A2,CPE,CRABP2,EBF2,ELN,FABP3,FAM210B,FAM46C,FBLN5,GJA4,HSPB7,ISL1,ISLR,ITLN1,LDB3,LRRN3,LUM,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NAV1,NPPA,NUSAP1,OGN,PAM,PCSK1N,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TCIM,TM4SF18,TMEM100,TNNI1,TNNT1,TOP2A,TPM1,TRIL
396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.601402334583733,0.0,0.0,0.0,6.2166061010848646,6.2166061010848646,0.0,0.0,0.0,0.0,6.2166061010848646,7.601402334583733,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,7.313886831633462,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68586094706836,6.68586094706836,0.0,0.0,5.993961427306569,5.993961427306569,0.0,0.0,0.0,8.630700432209833,0.0,0.0,7.3783837129967145,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.860014563948276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938537897880014,6.860014563948276,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.537640672314758,0.0,0.0,0.0,0.0,0.0,6.942623030403143,7.230063640424056,0.0,0.0,0.0,5.845940345101734,5.845940345101734,0.0,0.0,8.241203416405757,0.0,0.0,5.845940345101734,0.0,0.0,0.0,0.0,0.0,0.0,6.537640672314758,0.0,0.0,5.845940345101734,0.0,0.0,0.0,0.0,6.942623030403143,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,0.0,5.812138499293826,5.812138499293826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.812138499293826,6.90875477931522,6.90875477931522,0.0,0.0,5.812138499293826,0.0,0.0,0.0,0.0,8.37432309038321,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0,0.0,5.812138499293826,6.503789046997708,0.0,0.0,0.0,0.0,0.0,0.0,5.812138499293826,0.0,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,6.2166061010848646,0.0,0.0,6.90875477931522,0.0,6.90875477931522,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0,7.313886831633462,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,7.313886831633462,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,6.2166061010848646,0.0
422,0.0,0.0,0.0,0.0,0.0,0.0,7.301472639381708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917199867519596,0.0,0.0,0.0,0.0,5.917199867519596,0.0,0.0,0.0,0.0,0.0,5.917199867519596,5.917199867519596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.860799294944249,0.0,0.0,7.994282490711376,0.0,0.0,0.0,0.0,0.0,0.0,5.917199867519596,0.0,0.0,6.608999776101094,0.0,0.0,0.0,5.917199867519596,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283601778300414,0.0,0.0,0.0,5.283601778300414,0.0,0.0,0.0,0.0,0.0,7.763846298752938,7.07112384743449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.323280004633114,0.0,0.0,7.476305822759816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283601778300414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,6.860014563948276,7.265129978035143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957927342245102,6.167915732334905,0.0,7.775675758511548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,6.167915732334905,0.0,6.167915732334905,0.0,0.0
430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0909098220799835,7.601402334583733,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,7.0909098220799835,6.68586094706836,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0
435,0.0,5.717127377459133,0.0,0.0,7.100951831504149,7.506142128543193,6.813544494621113,0.0,0.0,0.0,0.0,6.813544494621113,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408628631315172,0.0,0.0,5.717127377459133,5.717127377459133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.100951831504149,0.0,0.0,7.100951831504149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408628631315172,0.0,5.717127377459133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55067114056188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.241874007624498,0.0,0.0,0.0,0.0,0.0,7.156996334238728,6.934047611962654,0.0,0.0,5.55067114056188,0.0,0.0,0.0,0.0,8.186114588096551,0.0,0.0,7.744436542654315,0.0,0.0,0.0,0.0,0.0,6.241874007624498,0.0,0.0,0.0,5.55067114056188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957927342245102,6.167915732334905,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,8.468613005199892,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0
450,0.0,0.0,5.430541086359215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430541086359215,0.0,0.0,0.0,0.0,5.430541086359215,0.0,0.0,0.0,7.036468263519029,0.0,0.0,0.0,0.0,0.0,7.506142128543193,6.813544494621113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.991438499792734,0.0,0.0,6.813544494621113,0.0,0.0,0.0,0.0,0.0,6.526228618887641,5.430541086359215,0.0,0.0,5.430541086359215,0.0,0.0,5.430541086359215,5.430541086359215,0.0,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.608999776101094,0.0,0.0,0.0,0.0,0.0,5.917199867519596,6.608999776101094,0.0,0.0,5.917199867519596,6.608999776101094,5.917199867519596,0.0,0.0,8.31264420319664,6.608999776101094,0.0,7.0140153898827995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917199867519596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917199867519596,0.0
455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0734858835418,0.0,0.0,0.0,5.0734858835418,0.0,0.0,0.0,5.0734858835418,0.0,6.677902764884913,6.4550737676928325,0.0,0.0,0.0,5.0734858835418,5.0734858835418,0.0,0.0,8.434718693356944,6.860014563948276,0.0,7.0140153898827995,0.0,0.0,0.0,0.0,0.0,5.0734858835418,6.167915732334905,0.0,0.0,5.763497875288668,0.0,0.0,0.0,0.0,0.0,0.0,5.0734858835418,0.0,0.0
457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419180722820095,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0,7.1316985104669115,0.0,0.0,8.229777750081887,0.0,0.0,0.0,0.0,0.0,6.034683666227958,7.642204338899188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0,0.0,0.0
458,0.0,0.0,0.0,0.0,5.687374080428037,5.687374080428037,5.687374080428037,5.687374080428037,0.0,0.0,5.687374080428037,0.0,0.0,0.0,0.0,0.0,0.0,5.687374080428037,0.0,0.0,0.0,5.687374080428037,0.0,0.0,5.687374080428037,0.0,0.0,7.07112384743449,7.07112384743449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07112384743449,0.0,0.0,7.630375592780047,0.0,0.0,0.0,0.0,0.0,0.0,7.07112384743449,0.0,5.687374080428037,0.0,0.0,5.687374080428037,0.0,0.0,5.687374080428037,0.0,0.0,0.0,0.0
459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0,0.0,0.0,0.0,7.1316985104669115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.740496729931813,0.0,0.0,7.1316985104669115,0.0,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0
479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034683666227958,0.0,0.0,0.0,0.0,0.0,7.1316985104669115,7.1316985104669115,0.0,0.0,6.034683666227958,0.0,6.034683666227958,0.0,0.0,8.517393171418904,0.0,0.0,7.1316985104669115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,5.88093194910298,0.0,6.977681048517689,6.977681048517689,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.977681048517689,0.0,0.0,0.0,0.0,5.88093194910298,5.88093194910298,5.88093194910298,5.88093194910298,5.88093194910298,0.0,0.0,0.0,6.977681048517689,0.0,5.88093194910298,0.0,6.977681048517689,6.572682063274631,0.0,0.0,0.0,5.88093194910298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,0.0
491,0.0,0.0,0.0,0.0,0.0,5.5254529391317835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.621405651764134,0.0,0.0,0.0,0.0,0.0,7.467942332285852,5.5254529391317835,0.0,6.2166061010848646,6.621405651764134,0.0,5.5254529391317835,0.0,0.0,7.919719760924575,6.2166061010848646,0.0,5.5254529391317835,0.0,0.0,0.0,5.5254529391317835,0.0,5.5254529391317835,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,6.2166061010848646,0.0,0.0
