gene,mean_cnc,mean_schwann,log2FC,pvalue
THOC2,0.967741935483871,0.8409090909090909,0.2026723133777703,0.6020943901486976
POC1A,0.2903225806451613,0.20454545454545456,0.505233224366268,0.6020961062362848
SKA2,1.1935483870967742,1.0227272727272727,0.22283537565922312,0.60222582833771
RPF1,0.2903225806451613,0.36363636363636365,-0.3248386884388126,0.6028953466717062
NGDN,0.3870967741935484,0.4772727272727273,-0.30211890963625,0.6029828696343611
EIF3E,6.935483870967742,7.659090909090909,-0.1431766036892288,0.6031850852075447
WEE1,0.2903225806451613,0.36363636363636365,-0.3248386884388126,0.6033719790580869
PDE9A,0.1935483870967742,0.25,-0.3692321265292191,0.6038438149108686
UBAP1,0.1935483870967742,0.25,-0.3692321265292191,0.6038438149108686
ZNF429,0.1935483870967742,0.25,-0.3692321265292191,0.6038438149108686
ERCC3,0.2903225806451613,0.36363636363636365,-0.3248386884388126,0.6039982628653996
MRPS14,0.5806451612903226,0.6818181818181818,-0.23172991722763914,0.6043047849439145
NBN,0.22580645161290322,0.1590909090909091,0.5052326289739852,0.6052188218589774
CCAR1,1.3548387096774193,1.1818181818181819,0.19711285699259556,0.6053153601172738
RAE1,0.45161290322580644,0.36363636363636365,0.31258945743760114,0.6060992737040999
ATF1,0.22580645161290322,0.29545454545454547,-0.3878479817287419,0.6062868536368626
TMEM128,0.5806451612903226,0.4772727272727273,0.2828423487668512,0.6063901708539599
KDELC1,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6066808174207909
METTL22,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6066808174207909
TRNT1,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6066808174207909
CDK2AP1,0.12903225806451613,0.18181818181818182,-0.4947614457072409,0.6066808174207912
RPL29,31.612903225806452,34.47727272727273,-0.12513211920258183,0.6068419806801201
NFU1,0.8709677419354839,0.75,0.21572842389002034,0.6078268307032217
GADD45B,0.41935483870967744,0.2727272727272727,0.6207106760669279,0.6084850159129771
C12orf76,0.5483870967741935,0.45454545454545453,0.27076951148224115,0.6087777604367366
PIAS1,0.5161290322580645,0.4318181818181818,0.2573072490516497,0.6093195582296078
MTFR1L,0.5806451612903226,0.5,0.21572829030756058,0.6094795959445797
ZC3H14,0.6451612903225806,0.5454545454545454,0.24220049365372487,0.6103256222447897
LSM12,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6103936938785381
TGS1,0.5483870967741935,0.6363636363636364,-0.21465640885282788,0.61070683819171
TRIL,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6110188943526349
MBD5,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6110188943526349
GLRX,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6110188943526349
OSGEP,0.3548387096774194,0.29545454545454547,0.26422639155826433,0.6113555581593368
PDCD6IP,0.45161290322580644,0.36363636363636365,0.31258945743760114,0.611431534084338
ATF2,0.3225806451612903,0.25,0.3677304860795598,0.6116680615725087
